date,consumerContainerCpm,producerCpuUsage,producerMemoryUsage,recordValue
2022-12-29 23:00:00,0,0.4172357044444494,12.589772542317709,35
2022-12-29 23:01:00,180,0.5882720305555564,12.591298421223959,151
2022-12-29 23:02:00,210,0.6106270661111068,12.589136759440104,184
2022-12-29 23:03:00,210,0.8030927983333275,12.591425577799479,213
2022-12-29 23:04:00,42,0.5621879561111203,12.593587239583334,165
2022-12-29 23:05:00,317,1.1122584899999863,12.605794270833334,385
2022-12-29 23:06:00,697,1.688471848888903,12.614313761393229,659
2022-12-29 23:07:00,647,1.3703153063789637,12.617874145507812,793
2022-12-29 23:08:00,812,1.3344509505222932,12.737401326497396,728
2022-12-29 23:09:00,715,1.4885378205555433,12.792078653971354,850
2022-12-29 23:10:00,972,1.4278061533333328,12.681961059570312,746
2022-12-29 23:11:00,740,1.9768893355555566,12.664667765299479,847
2022-12-29 23:12:00,438,2.2620516488888853,13.985315958658854,242
2022-12-29 23:13:00,385,1.0358227649999998,12.677256266276041,567
2022-12-29 23:14:00,747,0.903804907777778,12.702433268229166,568
2022-12-29 23:15:00,361,0.8803635088888958,12.682978312174479,310
2022-12-29 23:16:00,27,0.5041819244444352,12.683232625325521,66
2022-12-29 23:17:00,36,0.7830266994444597,12.690989176432291,169
2022-12-29 23:18:00,356,1.111221838333323,12.694422403971354,194
2022-12-29 23:19:00,126,0.9573692788889017,12.701670328776041,217
2022-12-29 23:20:00,182,0.8246409355555467,12.708282470703125,118
2022-12-29 23:21:00,41,0.3960517311111131,12.708028157552084,99
2022-12-29 23:22:00,146,0.8351331433333323,12.709935506184896,81
2022-12-29 23:23:00,15,0.4375877900000013,12.722269694010416,58
2022-12-29 23:24:00,60,0.46142332999999597,12.712224324544271,131
2022-12-29 23:25:00,178,0.6614680416666688,13.028462727864584,177
2022-12-29 23:26:00,177,0.6667430783333276,12.717692057291666,109
2022-12-29 23:27:00,161,0.4057629711111035,12.717437744140625,158
2022-12-29 23:28:00,322,0.8008142114977771,12.726211547851562,360
2022-12-29 23:29:00,637,1.3480608171560007,12.733840942382812,559
2022-12-29 23:30:00,694,1.3743713100000026,12.747446695963541,758
2022-12-29 23:31:00,783,0.9375371294444396,12.733586629231771,883
2022-12-29 23:32:00,728,1.213144917777779,12.738672892252604,809
2022-12-29 23:33:00,730,1.1731705494444435,12.744140625,760
2022-12-29 23:34:00,808,1.4929113716666682,12.749354044596354,747
2022-12-29 23:35:00,720,0.7360794094444382,12.750116984049479,574
2022-12-29 23:36:00,262,1.1348399083333365,12.757110595703125,470
2022-12-29 23:37:00,538,0.7021079571456158,12.757619222005209,295
2022-12-29 23:38:00,57,0.3816200937643966,12.758000691731771,101
2022-12-29 23:39:00,279,0.6560287992952132,12.759526570638021,185
2022-12-29 23:40:00,64,0.4298865805555529,12.759272257486979,83
2022-12-29 23:41:00,27,0.34065384907912427,12.755330403645834,25
2022-12-29 23:42:00,112,0.4194932164275201,12.755076090494791,96
2022-12-29 23:43:00,127,0.476943200555545,12.755076090494791,133
2022-12-29 23:44:00,34,0.40157965333332557,12.758382161458334,66
2022-12-29 23:45:00,40,0.6909279266666838,12.763341267903646,42
2022-12-29 23:46:00,20,0.9944740833333378,12.780125935872396,58
2022-12-29 23:47:00,116,0.4424359188888695,12.798436482747396,113
2022-12-29 23:48:00,164,0.4188086600000042,12.780507405598959,133
2022-12-29 23:49:00,356,0.5814996133333337,12.768809000651041,449
2022-12-29 23:50:00,561,0.7414640477777903,12.771097819010416,658
2022-12-29 23:51:00,953,0.8472216177777704,12.766774495442709,766
2022-12-29 23:52:00,589,1.005228965555539,12.773895263671875,830
2022-12-29 23:53:00,821,0.8619542000000043,12.767410278320312,831
2022-12-29 23:54:00,660,0.6715428488888936,12.769190470377604,698
2022-12-29 23:55:00,957,0.8585017444444452,12.769444783528646,762
2022-12-29 23:56:00,471,0.8008341622222147,12.770589192708334,780
2022-12-29 23:57:00,846,0.7226659916666733,12.774912516276041,637
2022-12-29 23:58:00,635,0.6726849911111307,12.771352132161459,423
2022-12-29 23:59:00,91,0.4328404972222049,12.771352132161459,83
2022-12-30 00:00:00,80,0.42680798611111,12.772496541341146,116
2022-12-30 00:01:00,115,0.43794652333333933,12.772242228190104,212
2022-12-30 00:02:00,345,0.48497788722222096,12.772878011067709,185
2022-12-30 00:03:00,44,0.47666736111111163,12.772623697916666,171
2022-12-30 00:04:00,202,0.508253000555546,12.774531046549479,123
2022-12-30 00:05:00,77,0.4194264144444541,12.774403889973959,53
2022-12-30 00:06:00,0,0.3816825661111207,12.774531046549479,5
2022-12-30 00:07:00,0,0.3253930461110915,12.775166829427084,0
2022-12-30 00:08:00,0,0.3944757533333308,12.775802612304688,0
2022-12-30 00:09:00,0,0.37653937944445676,12.776056925455729,0
2022-12-30 00:10:00,0,0.3609614847355722,12.776056925455729,0
2022-12-30 00:11:00,0,0.33556397609463695,12.77618408203125,0
2022-12-30 00:12:00,0,0.39569722944444646,12.776311238606771,0
2022-12-30 00:13:00,0,0.42431443062042623,12.777455647786459,0
2022-12-30 00:14:00,0,0.46882137955324393,12.778854370117188,0
2022-12-30 00:15:00,105,0.4535594066666704,12.778854370117188,157
2022-12-30 00:16:00,372,0.48587734944443167,12.779108683268229,298
2022-12-30 00:17:00,50,0.46211218166667506,12.779108683268229,72
2022-12-30 00:18:00,248,0.3614918405555538,12.779490152994791,182
2022-12-30 00:19:00,217,0.6712027249999942,12.779744466145834,501
2022-12-30 00:20:00,735,0.7747125349999981,12.774658203125,687
